,city,job_title,company_name,location,summary,rating
1,Raleigh,Jr. Big Data Developer,Enhance IT,United States,"Demonstrated ability to build processes that support data transformation, data structures, metadata, dependency and workload management.",3.1
2,Raleigh,HCS IT Data & Interoperative Developer - Epic Clarity Reporting - IT Analytics,UNC Health Care,"Morrisville, NC 27560",The developer will support reporting for inpatient and hospital quality from Epic EHR.,3.9
3,Raleigh,Informatica Developer,Infosys Limited,"Raleigh, NC",Experience in preparing test scripts and test cases to validate data and maintaining data quality.,3.9
4,Raleigh,AbInitio Developer,Infosys Limited,"Raleigh, NC",Experience in preparing test scripts and test cases to validate data and maintaining data quality.,3.9
5,Raleigh,Big Data Developer,Credit Suisse,N/A,"Build and optimize ‘big data’ data pipelines, architectures and data sets.",3.9
6,Raleigh,Data Architect,Onward Search,"Raleigh, NC","Participate in Data Governance Council with the objective of continuing to improve data quality, data availability, data security, and data maturity.",3.9
7,Raleigh,Senior Data Engineer/Developer,Lenora Systems Inc,N/A,Deeper analysis to build data processing framework (Managed data layer).,N/A
8,Raleigh,Data Analyst,TrialCard,N/A,"Understanding of dimensional data modeling concepts, as well as data warehousing design highly desirable.",3.3
9,Raleigh,Data Scientist,Peraton,N/A,"Create data mining architectures/models/protocols, statistical reporting, and data analysis methodologies to identify trends in large data sets.",3.3
10,Raleigh,Client Success Manager & Strategist,Exit Intelligence,N/A,"Proactive analysis of qualitative/quantitative data, and turning that data into strategic action.",N/A
11,Raleigh,UX Research Intern,Lenovo,N/A,Detail-oriented with the ability to be pragmatic and keep the ‘big picture’ in mind.,3.9
12,Raleigh,Data Engineer- 100% Remote,Advanced Tech Placement,N/A,"In this role you will work closely with our software developers, architects, data analysts and data scientists on data initiatives and services.",N/A
13,Raleigh,Data Analyst/Programmer,RTI International,N/A,Organize data and construct analytic datasets from complex data sources.,3.7
14,Raleigh,Experienced Data Scientist,Itron,N/A,Responsible for completing predictive data analysis.,3.8
15,Raleigh,Data Architect,Random Bit,N/A,Transactional data store data modelling design using relational and document data patterns.,N/A
16,Boston,Jr. Big Data Developer,Enhance IT,United States,"Demonstrated ability to build processes that support data transformation, data structures, metadata, dependency and workload management.",3.1
17,Boston,Technical Product Manager,InsideTracker ( Segterra ),"Cambridge, MA","Our expert system matches the most relevant, science-based recommendations to each individual based on blood data, DNA data and demographics, as well as self…",N/A
18,Boston,Spark Scala Big Data Software Engineers - junior to Director - deep pockets,The Bivium Group,Massachusetts,"MUST HAVE Spark/Scala production experience AND have worked on big data, ai, nlp or healthcare analytics.",N/A
19,Boston,Big Data Developer,Atos,N/A,"Strong understanding of the internals of Spark and Hadoop e.g. Data Frame, DAG, data partition and distribution, named node limitations, and tuning.",3.5
20,Boston,Sr. Big Data Developer,IQVIA,N/A,Investigate data processing issues and make recommendations to resolve.,3.8
21,Boston,Big Data Sr. Software Developer,AIR,N/A,Good knowledge of AWS data platform like Aurora/Redshift/RDS.,3.4
22,Boston,Data Scientist,Flipside Crypto,N/A,"Experience working with product teams, developers, and data engineers is a plus.",N/A
23,Boston,"Sr. Software Application Developer, Big Data",PlaceIQ,N/A,"We love building regression models, classification algorithms, data visualizations, and geo-spatial clustering, within our location-data platform, which…",3.9
24,Boston,Data Architecture Consultant,Accenture,N/A,Ensure test data conforms to data security requirements.,4.0
25,Boston,Data Engineer,"Commonwealth Equity Services, Inc.",N/A,Fulfilling data requests when the data elements are not yet built in the data warehouse.,N/A
26,Boston,Product Owner,BlueConic,N/A,"BlueConic is the market-leading customer data platform, which gives marketers the power to liberate their data and use it to improve marketing outcomes.",N/A
27,Boston,"Senior Specialist, SQL BI Developer",BNY Mellon,N/A,Acts as a mentor to junior level developers.,3.5
28,Boston,"AML Technology: Application Developer - Big Data, AVP",State Street,N/A,"Be responsible for Data Engineering using Hadoop, Spark, Scala and associated big data technologies.",3.5
29,Boston,Oracle Business Intelligence Developer,SBLI,"Woburn, MA 01801","Incumbent is responsible for the design, development and programing of systems to consolidate and analyze data from multiple internal sources and to integrate…",4.0
30,Boston,Big Data Developer (Azure) - Deloitte - (Remote / Contract),Experfy,"Boston, MA",Design big data batch processing and interactive solutions.,N/A
31,Portland,Jr. Big Data Developer,Enhance IT,United States,"Demonstrated ability to build processes that support data transformation, data structures, metadata, dependency and workload management.",3.1
32,Portland,Data Engineering Manager,Ursus,"Portland, OR 97209 (Pearl District area)",There are about 8 big data projects that he/she will have to oversee.,4.9
33,Portland,Lead Data Engineer,Tech Talent Link,"Beaverton, OR 97008 (Greenway area)",Experience leading a technical data team.,N/A
34,Portland,Cloud Support Engineer I - Big Data,"Amazon Web Services, Inc.",N/A,Experience utilizing data analysis techniques such as quantitative or qualitative analysis.,3.5
35,Portland,"Senior Scientist, Data Science",XPO Logistics,N/A,Help support data consumers to ensure they have reliable access to trusted data.,3.2
36,Portland,"Associate, Low Code Developer",KPMG,N/A,"From applied AI to optimization to big data platform engineering, your analytical and technical skills will drive real impact in the business world.",4.0
37,Portland,Senior Big Data Engineer,VanderHouwen,"Beaverton, OR","The Data Engineer will collaborate with product owners, developers, database architects, data analysts, visual developers and data scientists on data…",3.8
