,city,job_title,company_name
1,Raleigh,Senior Data Center Engineer (Automation),Altran
2,Raleigh,Data Engineer,ProVantage Corporate Solutions
3,Raleigh,Big Data Engineer,DISYS
4,Raleigh,Data Engineer - 303426,Procom
5,Raleigh,Data Engineer,Piper Companies
6,Raleigh,"Data Ops Engineer, ENTRY LEVEL",Pearson
7,Raleigh,Data Engineer,PennyMac
8,Raleigh,Data Engineer - Data Warehouse - Entry Level,Pearson
9,Raleigh,Data Engineer Intern,AlignTech
10,Raleigh,Data Engineer,VICTRA
11,Raleigh,Data Engineer- 100% Remote,Advanced Tech Placement
12,Raleigh,Data Engineer,Carimus
13,Raleigh,Senior Data Engineer,Red Hat Software
14,Raleigh,Data Engineer,IBM
15,Raleigh,Data Engineer,BoomTown
16,Boston,Data Science Engineer - Pharma Manufacturig Sci,Takeda Pharmaceuticals
17,Boston,Data Engineer,Intone Networks
18,Boston,Data Engineer,Oxfam America
19,Boston,Data Engineer (C2),Clarity Innovations
20,Boston,Data Engineer - Personalization (Remote Eligible - Americas),Spotify
21,Boston,Data Engineer 2,Kagr Llc
22,Boston,"Data Engineer (EDW, Data Analytics Office)",Mass General Brigham(PHS)
23,Boston,Data Engineer,Uplight
24,Boston,Data Engineer,"Commonwealth Equity Services, Inc."
25,Boston,"Data Engineer, Health",Syneos Health Commercial Solutions
26,Boston,Data Engineer (Collection),Recorded Future
27,Boston,Clinical Data Engineer,ERT
28,Boston,Data Engineer,Recorded Future
29,Boston,Data Engineer,MassMutual
30,Boston,Data Engineer,"Zipcar, Inc."
31,Portland,Data Engineer,Perfect Company
32,Portland,Data Engineer,North Highland
33,Portland,Data Engineer - Azure,OmniData Insights
34,Portland,Data Engineer,Gametime
35,Portland,Data Engineer,VanderHouwen
36,Portland,Sr. Data Engineer,"BizTek People, Inc."
37,Portland,Data Center Engineer,Insight Global
38,Portland,Data Operations Engineer PSJH,Providence
39,Portland,Data Engineer,Nectar Markets
40,Portland,NextGen Data Engineer,BICP
41,Portland,Data Analyst/Data Scientist Engineer (Portland / Remote) — Cascade Data Labs,Kin + Carta
42,Portland,Cloud Support Engineer I - Big Data,"Amazon Web Services, Inc."
43,Portland,Data Science Engineer,WorkBoard
44,Portland,Data Engineer,Slalom Consulting
45,Portland,Data Engineer,KEEN Footwear
46,San+Diego,"Software Engineer 2, Big Data",Intuit
47,San+Diego,Data and Analytics - Release Train Engineer,ASML
48,San+Diego,"Staff Software Engineer, Big Data",Intuit
49,San+Diego,JUNIOR Data Engineer,CCS Global Tech
50,San+Diego,Data Engineer,Itility
51,San+Diego,Data Engineer,Sony Interactive Entertainment PlayStation
52,San+Diego,Intern - Data Engineer,Teradata
